DATA;NOME FUNDO;TAXA ADM; COTA ;CLASSE
31/12/2018;CAIXA FIC PREV 300 RF;3;5,9990219;Renda Fixa
31/12/2018;CAIXA FIC PREV 250 RF;2,5;1,63273559;Renda Fixa
31/12/2018;CAIXA FIC PREV 200 RF;2;2,56719277;Renda Fixa
31/12/2018;CAIXA FIC PREV 150 RF;1,5;1,7436599;Renda Fixa
31/12/2018;CAIXA FIC PREV 100 RF;1;5,30322438;Renda Fixa
31/12/2018;CAIXA FIC PREV 70 RF;0,7;2,8045598;Renda Fixa
31/12/2018;CAIXA FIC PREV 60 RF;0,6;1,07832846;Renda Fixa
31/12/2018;CAIXA FIC PREV 50 RF;0,5;1,94555445;Renda Fixa
31/12/2018;CAIXA FIC PREV 40 RF;0,4;1,07581236;Renda Fixa
31/12/2018;CAIXA FIC PREV 30 RF;0,3;1,83964895;Renda Fixa
31/12/2018;CAIXA FIC PREV 300 MULTI RV 49;3;1,62676462;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 300 MULTI RV 30;3;5,85414759;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 300 MULTI RV 15;3;5,97326471;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 250 MULTI RV 49;2,5;0,70756469;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 250 MULTI RV 30;2,5;0,75688812;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 250 MULTI RV 15;2,5;1,08848269;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 200 MULTI RV 49;2;1,31052795;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 200 MULTI RV 30;2;0,64058641;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 200 MULTI RV 15;2;1,62079991;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 150 MULTI RV 49;1,5;2,00915306;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 150 MULTI RV 30;1,5;2,24570172;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 150 MULTI RV 15;1,5;2,39753011;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 125 MULTI RV 49;1,25;1,58188704;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 125 MULTI RV 30;1,25; 1,4972 ;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 125 MULTI RV 15;1,25;1,68178022;Multimercado com renda variável
31/12/2018;CAIXA FIC PREV 250 RF CRED PRIVADO;2,5;1,56596428;Crédito Privado
31/12/2018;CAIXA FIC PREV 200 RF CRED PRIVADO;2;1,63026381;Crédito Privado
31/12/2018;CAIXA FIC PREV 150 RF CRED PRIVADO;1,5;1,71548613;Crédito Privado
31/12/2018;CAIXA FIC PREV 125 RF CRED PRIVADO;1,25;1,80764031;Crédito Privado
31/12/2018;CAIXA FIC PREV 80 RF CRED PRIVADO;0,8;1,6343327;Crédito Privado
31/12/2018;CAIXA FIC PREV 60 RF CRED PRIVADO;0,6;1;Crédito Privado
31/12/2018;CAIXA FIC PREV 250 RF ÍNDICES DE PREÇOS;2,5;1,44191871;Índice de Preços
31/12/2018;CAIXA FIC PREV 200 RF ÍNDICES DE PREÇOS;2;1,58535763;Índice de Preços
31/12/2018;CAIXA FIC PREV 150 RF ÍNDICES DE PREÇOS;1,5;1,63427765;Índice de Preços
31/12/2018;CAIXA FIC PREV 125 RF ÍNDICES DE PREÇOS;1,25;1,68725163;Índice de Preços
31/12/2018;CAIXA FIC PREV 80 RF ÍNDICES DE PREÇOS;0,8;1,7982566;Índice de Preços
31/12/2018;CAIXA FIC PREV 80 MM ESTRATEGIA LIVRE;0,8;1,0032352;Multimercado Estratégia Livre
31/12/2018;CAIXA FIC PREV 60 MM ESTRATEGIA LIVRE;0,6;0,997728;Multimercado Estratégia Livre
02/01/2019;CAIXA FIC PREV 300 RF;3;5,99993189;Renda Fixa
02/01/2019;CAIXA FIC PREV 250 RF;2,5;1,6330155;Renda Fixa
02/01/2019;CAIXA FIC PREV 200 RF;2;2,56768358;Renda Fixa
02/01/2019;CAIXA FIC PREV 150 RF;1,5;1,7440277;Renda Fixa
02/01/2019;CAIXA FIC PREV 100 RF;1;5,30444767;Renda Fixa
02/01/2019;CAIXA FIC PREV 70 RF;0,7;2,80523992;Renda Fixa
02/01/2019;CAIXA FIC PREV 60 RF;0,6;1,07859413;Renda Fixa
02/01/2019;CAIXA FIC PREV 50 RF;0,5;1,94604169;Renda Fixa
02/01/2019;CAIXA FIC PREV 40 RF;0,4;1,07608567;Renda Fixa
02/01/2019;CAIXA FIC PREV 30 RF;0,3;1,84012406;Renda Fixa
02/01/2019;CAIXA FIC PREV 300 MULTI RV 49;3;1,62679301;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 300 MULTI RV 30;3;5,85457709;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 300 MULTI RV 15;3;5,97394791;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 250 MULTI RV 49;2,5;0,70758797;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 250 MULTI RV 30;2,5;0,75695869;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 250 MULTI RV 15;2,5;1,08862806;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 200 MULTI RV 49;2;1,31060051;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 200 MULTI RV 30;2;0,64065867;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 200 MULTI RV 15;2;1,62104915;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 150 MULTI RV 49;1,5;2,00930747;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 150 MULTI RV 30;1,5;2,24600349;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 150 MULTI RV 15;1,5;2,3979461;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 125 MULTI RV 49;1,25;1,58202572;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 125 MULTI RV 30;1,25; 1,4974 ;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 125 MULTI RV 15;1,25;1,68209047;Multimercado com renda variável
02/01/2019;CAIXA FIC PREV 250 RF CRED PRIVADO;2,5;1,56620145;Crédito Privado
02/01/2019;CAIXA FIC PREV 200 RF CRED PRIVADO;2;1,63054315;Crédito Privado
02/01/2019;CAIXA FIC PREV 150 RF CRED PRIVADO;1,5;1,71581436;Crédito Privado
02/01/2019;CAIXA FIC PREV 125 RF CRED PRIVADO;1,25;1,80800267;Crédito Privado
02/01/2019;CAIXA FIC PREV 80 RF CRED PRIVADO;0,8;1,6346888;Crédito Privado
02/01/2019;CAIXA FIC PREV 60 RF CRED PRIVADO;0,6;1;Crédito Privado
02/01/2019;CAIXA FIC PREV 250 RF ÍNDICES DE PREÇOS;2,5;1,44206442;Índice de Preços
02/01/2019;CAIXA FIC PREV 200 RF ÍNDICES DE PREÇOS;2;1,58554968;Índice de Preços
02/01/2019;CAIXA FIC PREV 150 RF ÍNDICES DE PREÇOS;1,5;1,63450794;Índice de Preços
02/01/2019;CAIXA FIC PREV 125 RF ÍNDICES DE PREÇOS;1,25;1,68750501;Índice de Preços
02/01/2019;CAIXA FIC PREV 80 RF ÍNDICES DE PREÇOS;0,8;1,798557;Índice de Preços
02/01/2019;CAIXA FIC PREV 80 MM ESTRATEGIA LIVRE;0,8;1,0034129;Multimercado Estratégia Livre
02/01/2019;CAIXA FIC PREV 60 MM ESTRATEGIA LIVRE;0,6;0,9978776;Multimercado Estratégia Livre
03/01/2019;CAIXA FIC PREV 300 RF;3;6,0034963;Renda Fixa
03/01/2019;CAIXA FIC PREV 250 RF;2,5;1,63401756;Renda Fixa
03/01/2019;CAIXA FIC PREV 200 RF;2;2,56930939;Renda Fixa
03/01/2019;CAIXA FIC PREV 150 RF;1,5;1,7451661;Renda Fixa
03/01/2019;CAIXA FIC PREV 100 RF;1;5,3080138;Renda Fixa
03/01/2019;CAIXA FIC PREV 70 RF;0,7;2,80715875;Renda Fixa
03/01/2019;CAIXA FIC PREV 60 RF;0,6;1,07933602;Renda Fixa
03/01/2019;CAIXA FIC PREV 50 RF;0,5;1,94738812;Renda Fixa
03/01/2019;CAIXA FIC PREV 40 RF;0,4;1,07683403;Renda Fixa
03/01/2019;CAIXA FIC PREV 30 RF;0,3;1,84141146;Renda Fixa
03/01/2019;CAIXA FIC PREV 300 MULTI RV 49;3;1,6544696;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 300 MULTI RV 30;3;5,91454965;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 300 MULTI RV 15;3;6,00495618;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 250 MULTI RV 49;2,5;0,71963413;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 250 MULTI RV 30;2,5;0,76463167;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 250 MULTI RV 15;2,5;1,09415692;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 200 MULTI RV 49;2;1,33292922;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 200 MULTI RV 30;2;0,64709775;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 200 MULTI RV 15;2;1,62935846;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 150 MULTI RV 49;1,5;2,04356787;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 150 MULTI RV 30;1,5;2,268538;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 150 MULTI RV 15;1,5;2,41045486;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 125 MULTI RV 49;1,25;1,60901004;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 125 MULTI RV 30;1,25; 1,5105 ;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 125 MULTI RV 15;1,25;1,69066455;Multimercado com renda variável
03/01/2019;CAIXA FIC PREV 250 RF CRED PRIVADO;2,5;1,56678198;Crédito Privado
03/01/2019;CAIXA FIC PREV 200 RF CRED PRIVADO;2;1,63117979;Crédito Privado
03/01/2019;CAIXA FIC PREV 150 RF CRED PRIVADO;1,5;1,71651844;Crédito Privado
03/01/2019;CAIXA FIC PREV 125 RF CRED PRIVADO;1,25;1,80876096;Crédito Privado
03/01/2019;CAIXA FIC PREV 80 RF CRED PRIVADO;0,8;1,6354029;Crédito Privado
03/01/2019;CAIXA FIC PREV 60 RF CRED PRIVADO;0,6;1;Crédito Privado
03/01/2019;CAIXA FIC PREV 250 RF ÍNDICES DE PREÇOS;2,5;1,4464776;Índice de Preços
03/01/2019;CAIXA FIC PREV 200 RF ÍNDICES DE PREÇOS;2;1,59043177;Índice de Preços
03/01/2019;CAIXA FIC PREV 150 RF ÍNDICES DE PREÇOS;1,5;1,63957112;Índice de Preços
03/01/2019;CAIXA FIC PREV 125 RF ÍNDICES DE PREÇOS;1,25;1,69274711;Índice de Preços
03/01/2019;CAIXA FIC PREV 80 RF ÍNDICES DE PREÇOS;0,8;1,8041751;Índice de Preços
03/01/2019;CAIXA FIC PREV 80 MM ESTRATEGIA LIVRE;0,8;1,0059361;Multimercado Estratégia Livre
03/01/2019;CAIXA FIC PREV 60 MM ESTRATEGIA LIVRE;0,6;1,0003572;Multimercado Estratégia Livre
04/01/2019;CAIXA FIC PREV 300 RF;3;6,00620211;Renda Fixa
04/01/2019;CAIXA FIC PREV 250 RF;2,5;1,63478604;Renda Fixa
04/01/2019;CAIXA FIC PREV 200 RF;2;2,57056811;Renda Fixa
04/01/2019;CAIXA FIC PREV 150 RF;1,5;1,7460553;Renda Fixa
04/01/2019;CAIXA FIC PREV 100 RF;1;5,31082236;Renda Fixa
04/01/2019;CAIXA FIC PREV 70 RF;0,7;2,80867706;Renda Fixa
04/01/2019;CAIXA FIC PREV 60 RF;0,6;1,07992393;Renda Fixa
04/01/2019;CAIXA FIC PREV 50 RF;0,5;1,94845675;Renda Fixa
04/01/2019;CAIXA FIC PREV 40 RF;0,4;1,0774288;Renda Fixa
04/01/2019;CAIXA FIC PREV 30 RF;0,3;1,84243624;Renda Fixa
04/01/2019;CAIXA FIC PREV 300 MULTI RV 49;3;1,65869951;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 300 MULTI RV 30;3;5,92458563;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 300 MULTI RV 15;3;6,01124537;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 250 MULTI RV 49;2,5;0,72148471;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 250 MULTI RV 30;2,5;0,76593085;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 250 MULTI RV 15;2,5;1,09530114;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 200 MULTI RV 49;2;1,33638478;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 200 MULTI RV 30;2;0,64818559;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 200 MULTI RV 15;2;1,63109103;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 150 MULTI RV 49;1,5;2,04890719;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 150 MULTI RV 30;1,5;2,27242724;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 150 MULTI RV 15;1,5;2,41310167;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 125 MULTI RV 49;1,25;1,61323014;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 125 MULTI RV 30;1,25; 1,5129 ;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 125 MULTI RV 15;1,25;1,69250584;Multimercado com renda variável
04/01/2019;CAIXA FIC PREV 250 RF CRED PRIVADO;2,5;1,56726367;Crédito Privado
04/01/2019;CAIXA FIC PREV 200 RF CRED PRIVADO;2;1,6317136;Crédito Privado
04/01/2019;CAIXA FIC PREV 150 RF CRED PRIVADO;1,5;1,71711435;Crédito Privado
04/01/2019;CAIXA FIC PREV 125 RF CRED PRIVADO;1,25;1,80940535;Crédito Privado
04/01/2019;CAIXA FIC PREV 80 RF CRED PRIVADO;0,8;1,636014;Crédito Privado
04/01/2019;CAIXA FIC PREV 60 RF CRED PRIVADO;0,6;1;Crédito Privado
04/01/2019;CAIXA FIC PREV 250 RF ÍNDICES DE PREÇOS;2,5;1,44959921;Índice de Preços
04/01/2019;CAIXA FIC PREV 200 RF ÍNDICES DE PREÇOS;2;1,59389447;Índice de Preços
04/01/2019;CAIXA FIC PREV 150 RF ÍNDICES DE PREÇOS;1,5;1,64317179;Índice de Preços
04/01/2019;CAIXA FIC PREV 125 RF ÍNDICES DE PREÇOS;1,25;1,69647961;Índice de Preços
04/01/2019;CAIXA FIC PREV 80 RF ÍNDICES DE PREÇOS;0,8;1,8081851;Índice de Preços
04/01/2019;CAIXA FIC PREV 80 MM ESTRATEGIA LIVRE;0,8;1,0055107;Multimercado Estratégia Livre
04/01/2019;CAIXA FIC PREV 60 MM ESTRATEGIA LIVRE;0,6;0,9999076;Multimercado Estratégia Livre
07/01/2019;CAIXA FIC PREV 300 RF;3;6,00762361;Renda Fixa
07/01/2019;CAIXA FIC PREV 250 RF;2,5;1,63520514;Renda Fixa
07/01/2019;CAIXA FIC PREV 200 RF;2;2,57127772;Renda Fixa
07/01/2019;CAIXA FIC PREV 150 RF;1,5;1,74657169;Renda Fixa
07/01/2019;CAIXA FIC PREV 100 RF;1;5,31249755;Renda Fixa
07/01/2019;CAIXA FIC PREV 70 RF;0,7;2,80959616;Renda Fixa
07/01/2019;CAIXA FIC PREV 60 RF;0,6;1,08028148;Renda Fixa
07/01/2019;CAIXA FIC PREV 50 RF;0,5;1,94910977;Renda Fixa
07/01/2019;CAIXA FIC PREV 40 RF;0,4;1,07779378;Renda Fixa
07/01/2019;CAIXA FIC PREV 30 RF;0,3;1,84306809;Renda Fixa
07/01/2019;CAIXA FIC PREV 300 MULTI RV 49;3;1,66152145;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 300 MULTI RV 30;3;5,93112736;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 300 MULTI RV 15;3;6,01516533;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 250 MULTI RV 49;2,5;0,72272308;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 250 MULTI RV 30;2,5;0,76678162;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 250 MULTI RV 15;2,5;1,09602109;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 200 MULTI RV 49;2;1,33870711;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 200 MULTI RV 30;2;0,64890228;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 200 MULTI RV 15;2;1,63219596;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 150 MULTI RV 49;1,5;2,05250997;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 150 MULTI RV 30;1,5;2,27500599;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 150 MULTI RV 15;1,5;2,4148042;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 125 MULTI RV 49;1,25;1,6160834;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 125 MULTI RV 30;1,25; 1,5145 ;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 125 MULTI RV 15;1,25;1,69370378;Multimercado com renda variável
07/01/2019;CAIXA FIC PREV 250 RF CRED PRIVADO;2,5;1,56766325;Crédito Privado
07/01/2019;CAIXA FIC PREV 200 RF CRED PRIVADO;2;1,63216196;Crédito Privado
07/01/2019;CAIXA FIC PREV 150 RF CRED PRIVADO;1,5;1,71762039;Crédito Privado
07/01/2019;CAIXA FIC PREV 125 RF CRED PRIVADO;1,25;1,80995507;Crédito Privado
07/01/2019;CAIXA FIC PREV 80 RF CRED PRIVADO;0,8;1,6365395;Crédito Privado
07/01/2019;CAIXA FIC PREV 60 RF CRED PRIVADO;0,6;1;Crédito Privado
07/01/2019;CAIXA FIC PREV 250 RF ÍNDICES DE PREÇOS;2,5;1,45048397;Índice de Preços
07/01/2019;CAIXA FIC PREV 200 RF ÍNDICES DE PREÇOS;2;1,59489891;Índice de Preços
07/01/2019;CAIXA FIC PREV 150 RF ÍNDICES DE PREÇOS;1,5;1,64423938;Índice de Preços
07/01/2019;CAIXA FIC PREV 125 RF ÍNDICES DE PREÇOS;1,25;1,69759743;Índice de Preços
